Age,Year,Type of Registration,Count
19 and under,1986,Joint Registrations different address,10326
19 and under,1996,Joint Registrations different address,10946
19 and under,2006,Joint Registrations different address,14870
19 and under,2016,Joint Registrations different address,7969
19 and under,2020,Joint Registrations different address,5360
20 - 24,1986,Joint Registrations different address,10397
20 - 24,1996,Joint Registrations different address,14858
20 - 24,2006,Joint Registrations different address,20755
20 - 24,2016,Joint Registrations different address,22445
20 - 24,2020,Joint Registrations different address,17552
25 - 29,1986,Joint Registrations different address,4166
25 - 29,1996,Joint Registrations different address,10599
25 - 29,2006,Joint Registrations different address,11651
25 - 29,2016,Joint Registrations different address,20650
25 - 29,2020,Joint Registrations different address,18715
30 - 34,1986,Joint Registrations different address,1790
30 - 34,1996,Joint Registrations different address,6626
30 - 34,2006,Joint Registrations different address,7159
30 - 34,2016,Joint Registrations different address,12542
30 - 34,2020,Joint Registrations different address,13494
35-39,1986,Joint Registrations different address,
35-39,1996,Joint Registrations different address,
35-39,2006,Joint Registrations different address,4578
35-39,2016,Joint Registrations different address,6352
35-39,2020,Joint Registrations different address,6840
40 and over,1986,Joint Registrations different address,0
40 and over,1996,Joint Registrations different address,0
40 and over,2006,Joint Registrations different address,1447
40 and over,2016,Joint Registrations different address,1959
40 and over,2020,Joint Registrations different address,2045
19 and under,1986,Joint Registrations same address,12908
19 and under,1996,Joint Registrations same address,15410
19 and under,2006,Joint Registrations same address,17061
19 and under,2016,Joint Registrations same address,8815
19 and under,2020,Joint Registrations same address,6228
20 - 24,1986,Joint Registrations same address,25760
20 - 24,1996,Joint Registrations same address,39978
20 - 24,2006,Joint Registrations same address,52162
20 - 24,2016,Joint Registrations same address,50321
20 - 24,2020,Joint Registrations same address,38403
25 - 29,1986,Joint Registrations same address,15300
25 - 29,1996,Joint Registrations same address,40384
25 - 29,2006,Joint Registrations same address,48474
25 - 29,2016,Joint Registrations same address,71897
25 - 29,2020,Joint Registrations same address,65276
30 - 34,1986,Joint Registrations same address,7849
30 - 34,1996,Joint Registrations same address,26875
30 - 34,2006,Joint Registrations same address,38133
30 - 34,2016,Joint Registrations same address,54122
30 - 34,2020,Joint Registrations same address,56063
35-39,1986,Joint Registrations same address,4233
35-39,1996,Joint Registrations same address,13347
35-39,2006,Joint Registrations same address,23897
35-39,2016,Joint Registrations same address,30476
35-39,2020,Joint Registrations same address,30234
40 and over,1986,Joint Registrations same address,794
40 and over,1996,Joint Registrations same address,2624
40 and over,2006,Joint Registrations same address,5734
40 and over,2016,Joint Registrations same address,8080
40 and over,2020,Joint Registrations same address,8356
19 and under,1986,Sole Registrations,16379
19 and under,1996,Sole Registrations,12946
19 and under,2006,Sole Registrations,10379
19 and under,2016,Sole Registrations,4592
19 and under,2020,Sole Registrations,3649
20 - 24,1986,Sole Registrations,17922
20 - 24,1996,Sole Registrations,16245
20 - 24,2006,Sole Registrations,14785
20 - 24,2016,Sole Registrations,9632
20 - 24,2020,Sole Registrations,7969
25 - 29,1986,Sole Registrations,8246
25 - 29,1996,Sole Registrations,11350
25 - 29,2006,Sole Registrations,9169
25 - 29,2016,Sole Registrations,9467
25 - 29,2020,Sole Registrations,8068
30 - 34,1986,Sole Registrations,3479
30 - 34,1996,Sole Registrations,6978
30 - 34,2006,Sole Registrations,6119
30 - 34,2016,Sole Registrations,6783
30 - 34,2020,Sole Registrations,6690
35-39,1986,Sole Registrations,1479
35-39,1996,Sole Registrations,2891
35-39,2006,Sole Registrations,3765
35-39,2016,Sole Registrations,4146
35-39,2020,Sole Registrations,4018
40 and over,1986,Sole Registrations,317
40 and over,1996,Sole Registrations,606
40 and over,2006,Sole Registrations,1238
40 and over,2016,Sole Registrations,1502
40 and over,2020,Sole Registrations,1544
19 and under,1986,Within Marriage or Civil Partnership,17793
19 and under,1996,Within Marriage or Civil Partnership,5365
19 and under,2006,Within Marriage or Civil Partnership,3199
19 and under,2016,Within Marriage or Civil Partnership,1089
19 and under,2020,Within Marriage or Civil Partnership,703
20 - 24,1986,Within Marriage or Civil Partnership,137985
20 - 24,1996,Within Marriage or Civil Partnership,54651
20 - 24,2006,Within Marriage or Civil Partnership,40126
20 - 24,2016,Within Marriage or Civil Partnership,20209
20 - 24,2020,Within Marriage or Civil Partnership,15702
25 - 29,1986,Within Marriage or Civil Partnership,201323
25 - 29,1996,Within Marriage or Civil Partnership,148770
25 - 29,2006,Within Marriage or Civil Partnership,103348
25 - 29,2016,Within Marriage or Civil Partnership,94118
25 - 29,2020,Within Marriage or Civil Partnership,72706
30 - 34,1986,Within Marriage or Civil Partnership,116369
30 - 34,1996,Within Marriage or Civil Partnership,145898
30 - 34,2006,Within Marriage or Civil Partnership,137996
30 - 34,2016,Within Marriage or Civil Partnership,146682
30 - 34,2020,Within Marriage or Civil Partnership,129428
35-39,1986,Within Marriage or Civil Partnership,39753
35-39,1996,Within Marriage or Civil Partnership,53265
35-39,2006,Within Marriage or Civil Partnership,78269
35-39,2016,Within Marriage or Civil Partnership,84231
35-39,2020,Within Marriage or Civil Partnership,77334
40 and over,1986,Within Marriage or Civil Partnership,6450
40 and over,1996,Within Marriage or Civil Partnership,8873
40 and over,2006,Within Marriage or Civil Partnership,15287
40 and over,2016,Within Marriage or Civil Partnership,18192
40 and over,2020,Within Marriage or Civil Partnership,17467
