Age,Year,Type of Registration,Count
19 and under,1938,Outside Marriage (or Civil Partnership),4730
19 and under,1938,Within Marriage (or Civil Partnership),20680
19 and under,1948,Outside Marriage (or Civil Partnership),5494
19 and under,1948,Within Marriage (or Civil Partnership),24960
19 and under,1958,Outside Marriage (or Civil Partnership),7261
19 and under,1958,Within Marriage (or Civil Partnership),36570
19 and under,1968,Outside Marriage (or Civil Partnership),21809
19 and under,1968,Within Marriage (or Civil Partnership),60266
19 and under,1978,Outside Marriage (or Civil Partnership),21643
19 and under,1978,Within Marriage (or Civil Partnership),34341
19 and under,1988,Outside Marriage (or Civil Partnership),44642
19 and under,1988,Within Marriage (or Civil Partnership),14099
19 and under,1998,Outside Marriage (or Civil Partnership),43007
19 and under,1998,Within Marriage (or Civil Partnership),5278
19 and under,2008,Outside Marriage (or Civil Partnership),41952
19 and under,2008,Within Marriage (or Civil Partnership),2739
19 and under,2018,Outside Marriage (or Civil Partnership),18056
19 and under,2018,Within Marriage (or Civil Partnership),920
20 - 24,1938,Outside Marriage (or Civil Partnership),8339
20 - 24,1938,Within Marriage (or Civil Partnership),138336
20 - 24,1948,Outside Marriage (or Civil Partnership),12723
20 - 24,1948,Within Marriage (or Civil Partnership),197397
20 - 24,1958,Outside Marriage (or Civil Partnership),11317
20 - 24,1958,Within Marriage (or Civil Partnership),210621
20 - 24,1968,Outside Marriage (or Civil Partnership),24363
20 - 24,1968,Within Marriage (or Civil Partnership),271583
20 - 24,1978,Outside Marriage (or Civil Partnership),19701
20 - 24,1978,Within Marriage (or Civil Partnership),162879
20 - 24,1988,Outside Marriage (or Civil Partnership),68151
20 - 24,1988,Within Marriage (or Civil Partnership),125575
20 - 24,1998,Outside Marriage (or Civil Partnership),67813
20 - 24,1998,Within Marriage (or Civil Partnership),45724
20 - 24,2008,Outside Marriage (or Civil Partnership),97732
20 - 24,2008,Within Marriage (or Civil Partnership),38239
20 - 24,2018,Outside Marriage (or Civil Partnership),73156
20 - 24,2018,Within Marriage (or Civil Partnership),17939
25 - 29,1938,Outside Marriage (or Civil Partnership),5819
25 - 29,1938,Within Marriage (or Civil Partnership),194112
25 - 29,1948,Outside Marriage (or Civil Partnership),11034
25 - 29,1948,Within Marriage (or Civil Partnership),238855
25 - 29,1958,Outside Marriage (or Civil Partnership),7310
25 - 29,1958,Within Marriage (or Civil Partnership),226736
25 - 29,1968,Outside Marriage (or Civil Partnership),11684
25 - 29,1968,Within Marriage (or Civil Partnership),229123
25 - 29,1978,Outside Marriage (or Civil Partnership),10431
25 - 29,1978,Within Marriage (or Civil Partnership),200167
25 - 29,1988,Outside Marriage (or Civil Partnership),38168
25 - 29,1988,Within Marriage (or Civil Partnership),205292
25 - 29,1998,Outside Marriage (or Civil Partnership),62397
25 - 29,1998,Within Marriage (or Civil Partnership),130747
25 - 29,2008,Outside Marriage (or Civil Partnership),82607
25 - 29,2008,Within Marriage (or Civil Partnership),110353
25 - 29,2018,Outside Marriage (or Civil Partnership),98361
25 - 29,2018,Within Marriage (or Civil Partnership),82497
30 - 34,1938,Outside Marriage (or Civil Partnership),3777
30 - 34,1938,Within Marriage (or Civil Partnership),141576
30 - 34,1948,Outside Marriage (or Civil Partnership),6476
30 - 34,1948,Within Marriage (or Civil Partnership),149607
30 - 34,1958,Outside Marriage (or Civil Partnership),5246
30 - 34,1958,Within Marriage (or Civil Partnership),139020
30 - 34,1968,Outside Marriage (or Civil Partnership),6620
30 - 34,1968,Within Marriage (or Civil Partnership),118696
30 - 34,1978,Outside Marriage (or Civil Partnership),5889
30 - 34,1978,Within Marriage (or Civil Partnership),107188
30 - 34,1988,Outside Marriage (or Civil Partnership),17590
30 - 34,1988,Within Marriage (or Civil Partnership),123384
30 - 34,1998,Outside Marriage (or Civil Partnership),43900
30 - 34,1998,Within Marriage (or Civil Partnership),144599
30 - 34,2008,Outside Marriage (or Civil Partnership),54384
30 - 34,2008,Within Marriage (or Civil Partnership),138066
30 - 34,2018,Outside Marriage (or Civil Partnership),74966
30 - 34,2018,Within Marriage (or Civil Partnership),137741
35-39,1938,Outside Marriage (or Civil Partnership),2626
35-39,1938,Within Marriage (or Civil Partnership),74650
35-39,1948,Outside Marriage (or Civil Partnership),4220
35-39,1948,Within Marriage (or Civil Partnership),93214
35-39,1958,Outside Marriage (or Civil Partnership),3768
35-39,1958,Within Marriage (or Civil Partnership),73148
35-39,1968,Outside Marriage (or Civil Partnership),3890
35-39,1968,Within Marriage (or Civil Partnership),54193
35-39,1978,Outside Marriage (or Civil Partnership),2333
35-39,1978,Within Marriage (or Civil Partnership),25604
35-39,1988,Outside Marriage (or Civil Partnership),7249
35-39,1988,Within Marriage (or Civil Partnership),40400
35-39,1998,Outside Marriage (or Civil Partnership),19561
35-39,1998,Within Marriage (or Civil Partnership),59320
35-39,2008,Outside Marriage (or Civil Partnership),34618
35-39,2008,Within Marriage (or Civil Partnership),81602
35-39,2018,Outside Marriage (or Civil Partnership),41923
35-39,2018,Within Marriage (or Civil Partnership),82644
40 and above,1938,Outside Marriage (or Civil Partnership),1088
40 and above,1938,Within Marriage (or Civil Partnership),25471
40 and above,1948,Outside Marriage (or Civil Partnership),1627
40 and above,1948,Within Marriage (or Civil Partnership),29699
40 and above,1958,Outside Marriage (or Civil Partnership),1272
40 and above,1958,Within Marriage (or Civil Partnership),18446
40 and above,1968,Outside Marriage (or Civil Partnership),1440
40 and above,1968,Within Marriage (or Civil Partnership),15605
40 and above,1978,Outside Marriage (or Civil Partnership),640
40 and above,1978,Within Marriage (or Civil Partnership),5602
40 and above,1988,Outside Marriage (or Civil Partnership),1552
40 and above,1988,Within Marriage (or Civil Partnership),7475
40 and above,1998,Outside Marriage (or Civil Partnership),3933
40 and above,1998,Within Marriage (or Civil Partnership),9622
40 and above,2008,Outside Marriage (or Civil Partnership),9488
40 and above,2008,Within Marriage (or Civil Partnership),16931
40 and above,2018,Outside Marriage (or Civil Partnership),11342
40 and above,2018,Within Marriage (or Civil Partnership),17523
