Year,Marriage,Count,Percentage
2020,Within Marriage (or Civil Partnership),"313,370",51.04%
2020,Outside Marriage (or Civil Partnership),"300,566",48.96%
2019,Within Marriage (or Civil Partnership),"329,971",51.53%
2019,Outside Marriage (or Civil Partnership),"310,399",48.47%
2018,Within Marriage (or Civil Partnership),"339,267",51.63%
2018,Outside Marriage (or Civil Partnership),"317,809",48.37%
2017,Within Marriage (or Civil Partnership),"352,270",51.87%
2017,Outside Marriage (or Civil Partnership),"326,836",48.13%
2016,Within Marriage (or Civil Partnership),"364,521",52.35%
2016,Outside Marriage (or Civil Partnership),"331,750",47.65%
2015,Within Marriage (or Civil Partnership),"364,628",52.25%
2015,Outside Marriage (or Civil Partnership),"333,224",47.75%
2014,Within Marriage (or Civil Partnership),"364,998",52.50%
2014,Outside Marriage (or Civil Partnership),"330,235",47.50%
2013,Within Marriage (or Civil Partnership),"367,618",52.63%
2013,Outside Marriage (or Civil Partnership),"330,894",47.37%
2012,Within Marriage (or Civil Partnership),"383,189",52.52%
2012,Outside Marriage (or Civil Partnership),"346,485",47.48%
2011,Within Marriage (or Civil Partnership),"382,574",52.85%
2011,Outside Marriage (or Civil Partnership),"341,339",47.15%
2010,Within Marriage (or Civil Partnership),"384,375",53.15%
2010,Outside Marriage (or Civil Partnership),"338,790",46.85%
2009,Within Marriage (or Civil Partnership),"380,069",53.82%
2009,Outside Marriage (or Civil Partnership),"326,179",46.18%
2008,Within Marriage (or Civil Partnership),"387,930",54.74%
2008,Outside Marriage (or Civil Partnership),"320,781",45.26%
2007,Within Marriage (or Civil Partnership),"384,463",55.72%
2007,Outside Marriage (or Civil Partnership),"305,550",44.28%
2006,Within Marriage (or Civil Partnership),"378,225",56.49%
2006,Outside Marriage (or Civil Partnership),"291,376",43.51%
2005,Within Marriage (or Civil Partnership),"369,330",57.19%
2005,Outside Marriage (or Civil Partnership),"276,505",42.81%
2004,Within Marriage (or Civil Partnership),"369,997",57.84%
2004,Outside Marriage (or Civil Partnership),"269,724",42.16%
2003,Within Marriage (or Civil Partnership),"364,244",58.61%
2003,Outside Marriage (or Civil Partnership),"257,225",41.39%
2002,Within Marriage (or Civil Partnership),"354,090",59.40%
2002,Outside Marriage (or Civil Partnership),"242,032",40.60%
2001,Within Marriage (or Civil Partnership),"356,548",59.96%
2001,Outside Marriage (or Civil Partnership),"238,086",40.04%
2000,Within Marriage (or Civil Partnership),"365,836",60.52%
2000,Outside Marriage (or Civil Partnership),"238,605",39.48%
1999,Within Marriage (or Civil Partnership),"379,983",61.10%
1999,Outside Marriage (or Civil Partnership),"241,889",38.90%
1998,Within Marriage (or Civil Partnership),"395,290",62.16%
1998,Outside Marriage (or Civil Partnership),"240,611",37.84%
1997,Within Marriage (or Civil Partnership),"404,873",62.96%
1997,Outside Marriage (or Civil Partnership),"238,222",37.04%
1996,Within Marriage (or Civil Partnership),"416,822",64.18%
1996,Outside Marriage (or Civil Partnership),"232,663",35.82%
1995,Within Marriage (or Civil Partnership),"428,189",66.06%
1995,Outside Marriage (or Civil Partnership),"219,949",33.94%
1994,Within Marriage (or Civil Partnership),"449,190",67.58%
1994,Outside Marriage (or Civil Partnership),"215,536",32.42%
1993,Within Marriage (or Civil Partnership),"456,919",67.85%
1993,Outside Marriage (or Civil Partnership),"216,548",32.15%
1992,Within Marriage (or Civil Partnership),"474,431",68.79%
