Year,Marriage,Count,Percentage
2020,Within Marriage (or Civil Partnership),313370,51.04%
2020,Outside Marriage (or Civil Partnership),300566,48.96%
2019,Within Marriage (or Civil Partnership),329971,51.53%
2019,Outside Marriage (or Civil Partnership),310399,48.47%
2018,Within Marriage (or Civil Partnership),339267,51.63%
2018,Outside Marriage (or Civil Partnership),317809,48.37%
2017,Within Marriage (or Civil Partnership),352270,51.87%
2017,Outside Marriage (or Civil Partnership),326836,48.13%
2016,Within Marriage (or Civil Partnership),364521,52.35%
2016,Outside Marriage (or Civil Partnership),331750,47.65%
2015,Within Marriage (or Civil Partnership),364628,52.25%
2015,Outside Marriage (or Civil Partnership),333224,47.75%
2014,Within Marriage (or Civil Partnership),364998,52.50%
2014,Outside Marriage (or Civil Partnership),330235,47.50%
2013,Within Marriage (or Civil Partnership),367618,52.63%
2013,Outside Marriage (or Civil Partnership),330894,47.37%
2012,Within Marriage (or Civil Partnership),383189,52.52%
2012,Outside Marriage (or Civil Partnership),346485,47.48%
2011,Within Marriage (or Civil Partnership),382574,52.85%
2011,Outside Marriage (or Civil Partnership),341339,47.15%
2010,Within Marriage (or Civil Partnership),384375,53.15%
2010,Outside Marriage (or Civil Partnership),338790,46.85%
2009,Within Marriage (or Civil Partnership),380069,53.82%
2009,Outside Marriage (or Civil Partnership),326179,46.18%
2008,Within Marriage (or Civil Partnership),387930,54.74%
2008,Outside Marriage (or Civil Partnership),320781,45.26%
2007,Within Marriage (or Civil Partnership),384463,55.72%
2007,Outside Marriage (or Civil Partnership),305550,44.28%
2006,Within Marriage (or Civil Partnership),378225,56.49%
2006,Outside Marriage (or Civil Partnership),291376,43.51%
2005,Within Marriage (or Civil Partnership),369330,57.19%
2005,Outside Marriage (or Civil Partnership),276505,42.81%
2004,Within Marriage (or Civil Partnership),369997,57.84%
2004,Outside Marriage (or Civil Partnership),269724,42.16%
2003,Within Marriage (or Civil Partnership),364244,58.61%
2003,Outside Marriage (or Civil Partnership),257225,41.39%
2002,Within Marriage (or Civil Partnership),354090,59.40%
2002,Outside Marriage (or Civil Partnership),242032,40.60%
2001,Within Marriage (or Civil Partnership),356548,59.96%
2001,Outside Marriage (or Civil Partnership),238086,40.04%
2000,Within Marriage (or Civil Partnership),365836,60.52%
2000,Outside Marriage (or Civil Partnership),238605,39.48%
1999,Within Marriage (or Civil Partnership),379983,61.10%
1999,Outside Marriage (or Civil Partnership),241889,38.90%
1998,Within Marriage (or Civil Partnership),395290,62.16%
1998,Outside Marriage (or Civil Partnership),240611,37.84%
1997,Within Marriage (or Civil Partnership),404873,62.96%
1997,Outside Marriage (or Civil Partnership),238222,37.04%
1996,Within Marriage (or Civil Partnership),416822,64.18%
1996,Outside Marriage (or Civil Partnership),232663,35.82%
1995,Within Marriage (or Civil Partnership),428189,66.06%
1995,Outside Marriage (or Civil Partnership),219949,33.94%
1994,Within Marriage (or Civil Partnership),449190,67.58%
1994,Outside Marriage (or Civil Partnership),215536,32.42%
1993,Within Marriage (or Civil Partnership),456919,67.85%
1993,Outside Marriage (or Civil Partnership),216548,32.15%
1992,Within Marriage (or Civil Partnership),474431,68.79%
1992,Outside Marriage (or Civil Partnership),215225,31.21%
1991,Within Marriage (or Civil Partnership),487923,69.78%
1991,Outside Marriage (or Civil Partnership),211294,30.22%
1990,Within Marriage (or Civil Partnership),506141,71.68%
1990,Outside Marriage (or Civil Partnership),199999,28.32%
