Year,Month,Count,Total,Percentage
2020,January,52804,613936,0.0860089651
2020,February,48317,613936,0.07870038571
2020,March,51080,613936,0.08320085481
2020,April,49337,613936,0.08036179667
2020,May,52094,613936,0.08485249277
2020,June,51495,613936,0.08387682104
2020,July,53515,613936,0.08716706627
2020,August,51662,613936,0.08414883636
2020,September,53079,613936,0.08645689453
2020,October,53624,613936,0.08734460921
2020,November,49638,613936,0.08085207579
2020,December,47291,613936,0.07702920174
2019,January,53677,640370,0.08382185299
2019,February,48203,640370,0.07527366991
2019,March,52880,640370,0.08257726002
2019,April,51148,640370,0.07987257367
2019,May,55108,640370,0.08605649859
2019,June,53539,640370,0.08360635258
2019,July,56440,640370,0.08813654606
2019,August,55359,640370,0.08644845948
2019,September,55164,640370,0.08614394803
2019,October,55281,640370,0.0863266549
2019,November,51922,640370,0.0810812499
2019,December,51649,640370,0.08065493387
2018,January,56173,657076,0.08548934979
2018,February,48792,657076,0.07425625042
2018,March,53875,657076,0.08199203745
2018,April,52639,657076,0.08011097651
2018,May,56599,657076,0.08613767662
2018,June,54968,657076,0.08365546756
2018,July,56824,657076,0.08648010276
2018,August,56719,657076,0.08632030389
2018,September,56145,657076,0.08544673675
2018,October,56663,657076,0.08623507783
2018,November,54037,657076,0.08223858427
2018,December,53642,657076,0.08163743616
2017,January,56237,679106,0.08281034183
2017,February,51259,679106,0.07548011651
2017,March,56625,679106,0.08338168121
2017,April,54613,679106,0.08041896258
2017,May,58224,679106,0.08573624736
2017,June,56431,679106,0.08309601152
2017,July,58797,679106,0.08658000371
2017,August,58776,679106,0.0865490807
2017,September,58740,679106,0.08649606983
2017,October,58590,679106,0.08627519121
2017,November,56101,679106,0.08261007854
2017,December,54713,679106,0.08056621499
2016,January,57188,696271,0.08213468606
2016,February,54932,696271,0.07889456835
2016,March,57583,696271,0.08270199391
2016,April,56663,696271,0.08138066931
2016,May,59327,696271,0.08520676576
2016,June,58701,696271,0.08430769054
2016,July,61300,696271,0.08804043253
2016,August,59118,696271,0.08490659528
2016,September,60152,696271,0.08639164923
2016,October,58862,696271,0.08453892234
2016,November,55985,696271,0.08040691053
2016,December,56460,696271,0.08108911616
2015,January,57811,697852,0.08284134745
2015,February,52345,697852,0.07500874111
2015,March,56692,697852,0.08123785559
2015,April,55851,697852,0.080032729
2015,May,59410,697852,0.08513266423
2015,June,58580,697852,0.0839433003
2015,July,61425,697852,0.08802009595
2015,August,59259,697852,0.08491628597
2015,September,60173,697852,0.08622601927
2015,October,60569,697852,0.08679347483
2015,November,57774,697852,0.08278832761
2015,December,57963,697852,0.08305915868
2014,January,58213,695233,0.08373164105
2014,February,53278,695233,0.07663330135
2014,March,57465,695233,0.08265574275
2014,April,55310,695233,0.0795560625
2014,May,58898,695233,0.08471692224
2014,June,57190,695233,0.08226019191
2014,July,60516,695233,0.08704419957
2014,August,59065,695233,0.08495712948
2014,September,61197,695233,0.0880237273
2014,October,61152,695233,0.0879590008
2014,November,55971,695233,0.08050682289
2014,December,56978,695233,0.08195525817
2013,January,59101,698512,0.08460985638
2013,February,53437,698512,0.0765011911
2013,March,58234,698512,0.08336864649
2013,April,55286,698512,0.07914824656
2013,May,58615,698512,0.08391409167
2013,June,56981,698512,0.08157483336
2013,July,61422,698512,0.08793263394
2013,August,60238,698512,0.08623760222
2013,September,60289,698512,0.08631061456
2013,October,60519,698512,0.08663988593
2013,November,56822,698512,0.08134720663
2013,December,57568,698512,0.08241519115
2012,January,61942,729674,0.08488996456
2012,February,56783,729674,0.07781968386
2012,March,61043,729674,0.0836579075
2012,April,58088,729674,0.07960815378
2012,May,62736,729674,0.08597812174
2012,June,59664,729674,0.08176802243
2012,July,61920,729674,0.08485981411
2012,August,61995,729674,0.08496259974
2012,September,62949,729674,0.08627003292
2012,October,63387,729674,0.08687030098
2012,November,59593,729674,0.0816707187
2012,December,59574,729674,0.08164467968
2011,January,60232,723913,0.08320336836
2011,February,54998,723913,0.07597321778
2011,March,59814,723913,0.08262595091
2011,April,57851,723913,0.07991429909
2011,May,60978,723913,0.08423387893
2011,June,60835,723913,0.08403634138
2011,July,63002,723913,0.08702979502
2011,August,61806,723913,0.08537766279
