Year,Mother age,Count
1978,19 and under,55984
1978,20-24,182580
1978,25-29,210598
1978,30-34,113077
1978,35-39,27937
1978,40-44,5719
1978,45 and over,523
1979,19 and under,59143
1979,20-24,193209
1979,25-29,222102
1979,30-34,125664
1979,35-39,31394
1979,40-44,5978
1979,45 and over,538
1980,19 and under,60754
1980,20-24,201541
1980,25-29,223438
1980,30-34,129908
1980,35-39,33893
1980,40-44,6075
1980,45 and over,625
1981,19 and under,56560
1981,20-24,194510
1981,25-29,215750
1981,30-34,126590
1981,35-39,34200
1981,40-44,6180
1981,45 and over,700
1982,19 and under,55435
1982,20-24,192322
1982,25-29,211905
1982,30-34,120758
1982,35-39,38992
1982,40-44,5886
1982,45 and over,633
1983,19 and under,54059
1983,20-24,191852
1983,25-29,214078
1983,30-34,120996
1983,35-39,41277
1983,40-44,6210
1983,45 and over,662
1984,19 and under,54508
1984,20-24,191455
1984,25-29,218031
1984,30-34,122774
1984,35-39,42921
1984,40-44,6576
1984,45 and over,553
1985,19 and under,56929
1985,20-24,193958
1985,25-29,227486
1985,30-34,126185
1985,35-39,44393
1985,40-44,6882
1985,45 and over,584
1986,19 and under,57406
1986,20-24,192064
1986,25-29,229035
1986,30-34,129487
1986,35-39,45465
1986,40-44,7033
1986,45 and over,528
1987,19 and under,57545
1987,20-24,193232
1987,25-29,238929
1987,30-34,136558
1987,35-39,46604
1987,40-44,8112
1987,45 and over,531
1988,19 and under,58741
1988,20-24,193726
1988,25-29,243460
1988,30-34,140974
1988,35-39,47649
1988,40-44,8520
1988,45 and over,507
1989,19 and under,55543
1989,20-24,185239
1989,25-29,242822
1989,30-34,145320
1989,35-39,49465
1989,40-44,8845
1989,45 and over,491
1990,19 and under,55541
1990,20-24,180136
1990,25-29,252577
1990,30-34,156264
1990,35-39,51905
1990,40-44,9220
1990,45 and over,497
1991,19 and under,52396
1991,20-24,173356
1991,25-29,248727
1991,30-34,161259
1991,35-39,53644
1991,40-44,9316
1991,45 and over,519
1992,19 and under,47861
1992,20-24,163311
1992,25-29,244798
1992,30-34,166839
1992,35-39,56650
1992,40-44,9696
1992,45 and over,501
1993,19 and under,45121
1993,20-24,151975
1993,25-29,235961
1993,30-34,171061
1993,35-39,58824
1993,40-44,9986
1993,45 and over,539
1994,19 and under,42026
1994,20-24,140240
1994,25-29,229102
1994,30-34,179568
1994,35-39,63061
1994,40-44,10241
1994,45 and over,488
1995,19 and under,41938
1995,20-24,130744
1995,25-29,217418
1995,30-34,181202
1995,35-39,65517
1995,40-44,10779
1995,45 and over,540
1996,19 and under,44667
1996,20-24,125732
1996,25-29,211103
1996,30-34,186377
1996,35-39,69503
1996,40-44,11516
1996,45 and over,587
1997,19 and under,46372
1997,20-24,118589
1997,25-29,202792
1997,30-34,187528
1997,35-39,74900
1997,40-44,12332
1997,45 and over,582
1998,19 and under,48285
1998,20-24,113537
1998,25-29,193144
1998,30-34,188499
1998,35-39,78881
1998,40-44,12980
1998,45 and over,575
1999,19 and under,48375
1999,20-24,110722
1999,25-29,181931
1999,30-34,185311
1999,35-39,81281
1999,40-44,13617
1999,45 and over,635
2000,19 and under,45846
2000,20-24,107741
2000,25-29,170701
2000,30-34,180113
2000,35-39,84974
2000,40-44,14403
2000,45 and over,663
2001,19 and under,44189
2001,20-24,108844
2001,25-29,159926
2001,30-34,178920
2001,35-39,86495
2001,40-44,15499
2001,45 and over,761
2002,19 and under,43467
2002,20-24,110959
2002,25-29,153379
2002,30-34,180532
2002,35-39,90449
2002,40-44,16441
2002,45 and over,895
2003,19 and under,44236
2003,20-24,116622
2003,25-29,156931
2003,30-34,187214
2003,35-39,97386
2003,40-44,18205
2003,45 and over,875
2004,19 and under,45094
2004,20-24,121072
2004,25-29,159984
2004,30-34,190550
2004,35-39,102228
2004,40-44,19884
2004,45 and over,909
2005,19 and under,44830
2005,20-24,122145
2005,25-29,164348
2005,30-34,188153
2005,35-39,104113
2005,40-44,21155
2005,45 and over,1091
2006,19 and under,45509
2006,20-24,127828
2006,25-29,172642
2006,30-34,189407
2006,35-39,110509
2006,40-44,22512
2006,45 and over,1194
2007,19 and under,44805
2007,20-24,130784
2007,25-29,182570
2007,30-34,191124
2007,35-39,115380
2007,40-44,24041
2007,45 and over,1309
2008,19 and under,44691
2008,20-24,135971
2008,25-29,192960
2008,30-34,192450
2008,35-39,116220
2008,40-44,24991
2008,45 and over,1428
2009,19 and under,43243
2009,20-24,136012
2009,25-29,194129
2009,30-34,191600
2009,35-39,114288
2009,40-44,25357
2009,45 and over,1619
2010,19 and under,40591
2010,20-24,137312
2010,25-29,199233
2010,30-34,202457
2010,35-39,115841
2010,40-44,25973
2010,45 and over,1758
2011,19 and under,36435
2011,20-24,134946
2011,25-29,200587
2011,30-34,207151
2011,35-39,115444
2011,40-44,27518
2011,45 and over,1832
2012,19 and under,33815
2012,20-24,132456
2012,25-29,202370
2012,30-34,216242
2012,35-39,114797
2012,40-44,28019
2012,45 and over,1975
2013,19 and under,29136
2013,20-24,119719
2013,25-29,196693
2013,30-34,212306
2013,35-39,111500
2013,40-44,27148
2013,45 and over,2010
2014,19 and under,25977
2014,20-24,112615
2014,25-29,196818
2014,30-34,215642
2014,35-39,115171
2014,40-44,27021
2014,45 and over,1989
2015,19 and under,23948
2015,20-24,108111
2015,25-29,198183
2015,30-34,217755
2015,35-39,120614
2015,40-44,27065
2015,45 and over,2176
2016,19 and under,22465
2016,20-24,102607
2016,25-29,196132
2016,30-34,220129
2016,35-39,125205
2016,40-44,27447
2016,45 and over,2286
2017,19 and under,20358
2017,20-24,97506
2017,25-29,190028
2017,30-34,216787
2017,35-39,125114
2017,40-44,26956
2017,45 and over,2357
2018,19 and under,18976
2018,20-24,91095
2018,25-29,180858
2018,30-34,212707
2018,35-39,124567
2018,40-44,26499
2018,45 and over,2366
2019,19 and under,17720
2019,20-24,86756
2019,25-29,173944
2019,30-34,209905
2019,35-39,122409
2019,40-44,27228
2019,45 and over,2390
2020,19 and under,15940
2020,20-24,79626
2020,25-29,164765
2020,30-34,205675
2020,35-39,118426
2020,40-44,27073
2020,45 and over,2339
