Year,Country,Count
2020,EU,63732
2019,EU,67645
2018,EU,69775
2017,EU,71473
2016,EU,71671
2015,EU,69071
2014,EU,64068
2013,EU,60453
2012,EU,59062
2011,EU,55197
2010,EU,52870
2009,EU,47681
2008,EU,44025
2007,EU,18815
2006,EU,20313
2005,EU,21848
2004,EU,24917
2003,EU,30277
2002,EU,37311
2020,Other foreign countries,116149
2019,Other foreign countries,116358
2018,Other foreign countries,115794
2017,Other foreign countries,121178
2016,Other foreign countries,124583
2015,Other foreign countries,123156
2014,Other foreign countries,123542
2013,Other foreign countries,124622
2012,Other foreign countries,130017
2011,Other foreign countries,129332
2010,Other foreign countries,128957
2009,Other foreign countries,126493
2008,Other foreign countries,126809
2007,Other foreign countries,86495
2006,Other foreign countries,94991
2005,Other foreign countries,102635
2004,Other foreign countries,109192
2003,Other foreign countries,116580
2002,Other foreign countries,122912
2020,Total,613936
2019,Total,640370
2018,Total,657076
2017,Total,679106
2016,Total,696271
2015,Total,697852
2014,Total,695233
2013,Total,698512
2012,Total,729674
2011,Total,723913
2010,Total,723165
2009,Total,706248
2008,Total,708711
2007,Total,595914
2006,Total,621251
2005,Total,639509
2004,Total,645621
2003,Total,669376
2002,Total,689771
2020,United Kingdom,434024
2019,United Kingdom,456328
2018,United Kingdom,471476
2017,United Kingdom,486417
2016,United Kingdom,499974
2015,United Kingdom,505588
2014,United Kingdom,507586
2013,United Kingdom,513411
2012,United Kingdom,540572
2011,United Kingdom,539364
2010,United Kingdom,541321
2009,United Kingdom,532046
2008,United Kingdom,537854
2007,United Kingdom,490604
2006,United Kingdom,505947
2005,United Kingdom,515026
2004,United Kingdom,511512
2003,United Kingdom,522519
2002,United Kingdom,529548
