Year,Country,Count
2020,Total,"613,936"
2020,United Kingdom,"434,024"
2020,Foreign total,"179,881"
2020,EU,"63,732"
2020,Other foreign countries,"116,149"
2019,Total,"640,370"
2019,United Kingdom,"456,328"
2019,Foreign total,"184,003"
2019,EU,"67,645"
2019,Other foreign countries,"116,358"
2018,Total,"657,076"
2018,United Kingdom,"471,476"
2018,Foreign total,"185,569"
2018,EU,"69,775"
2018,Other foreign countries,"115,794"
2017,Total,"679,106"
2017,United Kingdom,"486,417"
2017,Foreign total,"192,651"
2017,EU,"71,473"
2017,Other foreign countries,"121,178"
2016,Total,"696,271"
2016,United Kingdom,"499,974"
2016,Foreign total,"196,254"
2016,EU,"71,671"
2016,Other foreign countries,"124,583"
2015,Total,"697,852"
2015,United Kingdom,"505,588"
2015,Foreign total,"192,227"
2015,EU,"69,071"
2015,Other foreign countries,"123,156"
2014,Total,"695,233"
2014,United Kingdom,"507,586"
2014,Foreign total,"187,610"
2014,EU,"64,068"
2014,Other foreign countries,"123,542"
2013,Total,"698,512"
2013,United Kingdom,"513,411"
2013,Foreign total,"185,075"
2013,EU,"60,453"
2013,Other foreign countries,"124,622"
2012,Total,"729,674"
2012,United Kingdom,"540,572"
2012,Foreign total,"189,079"
2012,EU,"59,062"
2012,Other foreign countries,"130,017"
2011,Total,"723,913"
2011,United Kingdom,"539,364"
2011,Foreign total,"184,529"
2011,EU,"55,197"
2011,Other foreign countries,"129,332"
2010,Total,"723,165"
2010,United Kingdom,"541,321"
2010,Foreign total,"181,827"
2010,EU,"52,870"
2010,Other foreign countries,"128,957"
2009,Total,"706,248"
2009,United Kingdom,"532,046"
2009,Foreign total,"174,174"
2009,EU,"47,681"
2009,Other foreign countries,"126,493"
2008,Total,"708,711"
2008,United Kingdom,"537,854"
2008,Foreign total,"170,834"
2008,EU,"44,025"
2008,Other foreign countries,"126,809"
2007,Total,"595,914"
2007,United Kingdom,"490,604"
2007,Foreign total,"105,310"
2007,EU,"18,815"
2007,Other foreign countries,86495
2006,Total,"621,251"
2006,United Kingdom,"505,947"
2006,Foreign total,"115,304"
2006,EU,"20,313"
2006,Other foreign countries,94991
2005,Total,"639,509"
2005,United Kingdom,"515,026"
2005,Foreign total,"124,483"
2005,EU,"21,848"
2005,Other foreign countries,102635
2004,Total,"645,621"
2004,United Kingdom,"511,512"
2004,Foreign total,"134,109"
2004,EU,"24,917"
2004,Other foreign countries,109192
2003,Total,"669,376"
2003,United Kingdom,"522,519"
2003,Foreign total,"146,857"
2003,EU,"30,277"
2003,Other foreign countries,116580
2002,Total,"689,771"
2002,United Kingdom,"529,548"
2002,Foreign total,"160,223"
2002,EU,"37,311"
2002,Other foreign countries,122912
