Gender,Year,Mean age of parenthood,Age,Age-specific fertility rate
Male,2020,33.7,19 and under,3.8
Male,2019,33.6,19 and under,4.3
Male,2018,33.6,19 and under,4.4
Male,2017,33.4,19 and under,5.4
Male,2016,33.3,19 and under,5.7
Male,2015,33.2,19 and under,5.9
Male,2014,33.1,19 and under,6.3
Male,2013,32.9,19 and under,7.2
Male,2012,32.7,19 and under,8.3
Male,2011,32.6,19 and under,8.7
Male,2010,32.5,19 and under,9.4
Male,2009,32.4,19 and under,10
Male,2008,32.3,19 and under,10.1
Male,2007,32.3,19 and under,9.8
Male,2006,32.2,19 and under,10
Male,2005,32.2,19 and under,9.9
Male,2004,32.1,19 and under,9.8
Male,2003,32,19 and under,9.5
Male,2002,31.9,19 and under,9.4
Male,2001,31.8,19 and under,9.7
Male,2000,31.7,19 and under,10.1
Male,1999,31.6,19 and under,10.6
Male,1998,31.5,19 and under,10.2
Male,1997,31.5,19 and under,9.6
Male,1996,31.4,19 and under,9.3
Male,1995,31.3,19 and under,9
Male,1994,31.3,19 and under,9
Male,1993,31.1,19 and under,10
Male,1992,30.9,19 and under,10.8
Male,1991,30.8,19 and under,11.3
Male,1990,30.7,19 and under,11.7
Male,1989,30.7,19 and under,11.2
Male,1988,30.5,19 and under,11.6
Male,1987,30.5,19 and under,11
Male,1986,30.4,19 and under,10.9
Male,1985,30.3,19 and under,10.6
Male,1984,30.3,19 and under,10.1
Male,1983,30.2,19 and under,9.6
Male,1982,30.1,19 and under,9.6
Male,1981,30,19 and under,9.6
Male,1980,29.8,19 and under,10.4
Male,1979,29.8,19 and under,10.2
Male,1978,29.7,19 and under,9.8
Male,1977,29.7,19 and under,9.8
Male,1976,29.6,19 and under,10.8
Male,1975,29.5,19 and under,12
Male,1974,29.4,19 and under,12.9
Male,1973,29.5,19 and under,13.8
Male,1972,29.6,19 and under,14.6
Male,1971,29.6,19 and under,15
Male,1970,29.7,19 and under,14.8
Male,1969,29.8,19 and under,14.9
Male,1968,29.9,19 and under,14.7
Male,1967,30,19 and under,14.5
Male,1966,30.1,19 and under,13.7
Male,1965,30.2,19 and under,12.2
Male,1964,30.3,19 and under,10.9
Male,2020,33.7,20 - 24,24.8
Male,2019,33.6,20 - 24,27.5
Male,2018,33.6,20 - 24,28.8
Male,2017,33.4,20 - 24,31.6
Male,2016,33.3,20 - 24,33.6
Male,2015,33.2,20 - 24,35.7
Male,2014,33.1,20 - 24,37.7
Male,2013,32.9,20 - 24,40.4
Male,2012,32.7,20 - 24,44.9
Male,2011,32.6,20 - 24,46.2
Male,2010,32.5,20 - 24,48.6
Male,2009,32.4,20 - 24,49.1
Male,2008,32.3,20 - 24,48.5
Male,2007,32.3,20 - 24,46.9
Male,2006,32.2,20 - 24,46.4
Male,2005,32.2,20 - 24,45.4
Male,2004,32.1,20 - 24,46.2
Male,2003,32,20 - 24,45.3
Male,2002,31.9,20 - 24,43.8
Male,2001,31.8,20 - 24,43.8
Male,2000,31.7,20 - 24,44.6
Male,1999,31.6,20 - 24,46.6
Male,1998,31.5,20 - 24,48
Male,1997,31.5,20 - 24,49
Male,1996,31.4,20 - 24,49.9
Male,1995,31.3,20 - 24,49.6
Male,1994,31.3,20 - 24,51.7
Male,1993,31.1,20 - 24,54.6
Male,1992,30.9,20 - 24,58.8
Male,1991,30.8,20 - 24,60.2
Male,1990,30.7,20 - 24,61.4
Male,1989,30.7,20 - 24,61.5
Male,1988,30.5,20 - 24,63.9
Male,1987,30.5,20 - 24,62.3
Male,1986,30.4,20 - 24,61.8
Male,1985,30.3,20 - 24,62.2
Male,1984,30.3,20 - 24,61.6
Male,1983,30.2,20 - 24,63.2
Male,1982,30.1,20 - 24,65.7
Male,1981,30,20 - 24,67.1
Male,1980,29.8,20 - 24,72.3
Male,1979,29.8,20 - 24,70.7
Male,1978,29.7,20 - 24,67.7
Male,1977,29.7,20 - 24,65.8
Male,1976,29.6,20 - 24,70.2
Male,1975,29.5,20 - 24,75.1
Male,1974,29.4,20 - 24,82.1
Male,1973,29.5,20 - 24,88.2
Male,1972,29.6,20 - 24,97
Male,1971,29.6,20 - 24,105.9
Male,1970,29.7,20 - 24,105.7
Male,1969,29.8,20 - 24,105.3
Male,1968,29.9,20 - 24,106.9
Male,1967,30,20 - 24,108.5
Male,1966,30.1,20 - 24,112.7
Male,1965,30.2,20 - 24,112.6
Male,1964,30.3,20 - 24,112.8
Male,2020,33.7,25 - 29,62.2
Male,2019,33.6,25 - 29,66.6
Male,2018,33.6,25 - 29,69.4
Male,2017,33.4,25 - 29,73.2
Male,2016,33.3,25 - 29,75.9
Male,2015,33.2,25 - 29,77.9
Male,2014,33.1,25 - 29,79.2
Male,2013,32.9,25 - 29,80.3
Male,2012,32.7,25 - 29,84.1
Male,2011,32.6,25 - 29,83.8
Male,2010,32.5,25 - 29,84.6
Male,2009,32.4,25 - 29,83.1
Male,2008,32.3,25 - 29,83.9
Male,2007,32.3,25 - 29,81.8
Male,2006,32.2,25 - 29,80.4
Male,2005,32.2,25 - 29,78.2
Male,2004,32.1,25 - 29,79.1
Male,2003,32,25 - 29,77.7
Male,2002,31.9,25 - 29,75.8
Male,2001,31.8,25 - 29,77
Male,2000,31.7,25 - 29,79.9
Male,1999,31.6,25 - 29,85.2
Male,1998,31.5,25 - 29,88.6
Male,1997,31.5,25 - 29,90.7
Male,1996,31.4,25 - 29,93
Male,1995,31.3,25 - 29,94.1
Male,1994,31.3,25 - 29,98.3
Male,1993,31.1,25 - 29,101.1
Male,1992,30.9,25 - 29,106.2
Male,1991,30.8,25 - 29,108.2
Male,1990,30.7,25 - 29,111.1
Male,1989,30.7,25 - 29,110.7
Male,1988,30.5,25 - 29,114.7
Male,1987,30.5,25 - 29,116
Male,1986,30.4,25 - 29,115.3
Male,1985,30.3,25 - 29,118.5
Male,1984,30.3,25 - 29,118.3
Male,1983,30.2,25 - 29,120.3
Male,1982,30.1,25 - 29,120.8
Male,1981,30,25 - 29,124.6
Male,1980,29.8,25 - 29,128.7
Male,1979,29.8,25 - 29,126.1
Male,1978,29.7,25 - 29,119.9
Male,1977,29.7,25 - 29,115.1
Male,1976,29.6,25 - 29,117.9
Male,1975,29.5,25 - 29,122.3
Male,1974,29.4,25 - 29,130.6
Male,1973,29.5,25 - 29,137.4
Male,1972,29.6,25 - 29,146.2
Male,1971,29.6,25 - 29,160.5
Male,1970,29.7,25 - 29,162.1
Male,1969,29.8,25 - 29,165.6
Male,1968,29.9,25 - 29,172.7
Male,1967,30,25 - 29,176.6
Male,1966,30.1,25 - 29,184
Male,1965,30.2,25 - 29,187.4
Male,1964,30.3,25 - 29,190.9
Male,2020,33.7,30 - 34,96.4
Male,2019,33.6,30 - 34,99.5
Male,2018,33.6,30 - 34,101.7
Male,2017,33.4,30 - 34,104.3
Male,2016,33.3,30 - 34,106.2
Male,2015,33.2,30 - 34,107.1
Male,2014,33.1,30 - 34,106.7
Male,2013,32.9,30 - 34,107.5
Male,2012,32.7,30 - 34,111.6
Male,2011,32.6,30 - 34,110.5
Male,2010,32.5,30 - 34,111.3
Male,2009,32.4,30 - 34,108.6
Male,2008,32.3,30 - 34,110.9
Male,2007,32.3,30 - 34,109.4
Male,2006,32.2,30 - 34,106.3
Male,2005,32.2,30 - 34,102.6
Male,2004,32.1,30 - 34,102.2
Male,2003,32,30 - 34,99.1
Male,2002,31.9,30 - 34,94.6
Male,2001,31.8,30 - 34,93.6
Male,2000,31.7,30 - 34,94.6
Male,1999,31.6,30 - 34,96.7
Male,1998,31.5,30 - 34,98.9
Male,1997,31.5,30 - 34,99.2
Male,1996,31.4,30 - 34,100.5
Male,1995,31.3,30 - 34,100.7
Male,1994,31.3,30 - 34,103.3
Male,1993,31.1,30 - 34,103.2
Male,1992,30.9,30 - 34,102.6
Male,1991,30.8,30 - 34,105.3
Male,1990,30.7,30 - 34,106.9
Male,1989,30.7,30 - 34,103.9
Male,1988,30.5,30 - 34,104.4
Male,1987,30.5,30 - 34,103.2
Male,1986,30.4,30 - 34,100
Male,1985,30.3,30 - 34,99.1
Male,1984,30.3,30 - 34,96.3
Male,1983,30.2,30 - 34,94.6
Male,1982,30.1,30 - 34,92.6
Male,1981,30,30 - 34,92.2
Male,1980,29.8,30 - 34,95.3
Male,1979,29.8,30 - 34,93.6
Male,1978,29.7,30 - 34,86.7
Male,1977,29.7,30 - 34,82.5
Male,1976,29.6,30 - 34,82.5
Male,1975,29.5,30 - 34,84.1
Male,1974,29.4,30 - 34,87.9
Male,1973,29.5,30 - 34,92.8
Male,1972,29.6,30 - 34,100.5
Male,1971,29.6,30 - 34,110.2
Male,1970,29.7,30 - 34,113.4
Male,1969,29.8,30 - 34,117.8
Male,1968,29.9,30 - 34,122.4
Male,1967,30,30 - 34,125.8
Male,1966,30.1,30 - 34,129.8
Male,1965,30.2,30 - 34,135.8
Male,1964,30.3,30 - 34,140.3
Male,2020,33.7,35 - 39,73.3
Male,2019,33.6,35 - 39,76.3
Male,2018,33.6,35 - 39,78.5
Male,2017,33.4,35 - 39,80.8
Male,2016,33.3,35 - 39,83.3
Male,2015,33.2,35 - 39,83.6
Male,2014,33.1,35 - 39,82.3
Male,2013,32.9,35 - 39,81.2
Male,2012,32.7,35 - 39,83.5
Male,2011,32.6,35 - 39,81.2
Male,2010,32.5,35 - 39,80.3
Male,2009,32.4,35 - 39,77.5
Male,2008,32.3,35 - 39,77.4
Male,2007,32.3,35 - 39,75.4
Male,2006,32.2,35 - 39,72.4
Male,2005,32.2,35 - 39,68.6
Male,2004,32.1,35 - 39,67.3
Male,2003,32,35 - 39,64.3
Male,2002,31.9,35 - 39,60.8
Male,2001,31.8,35 - 39,59.6
Male,2000,31.7,35 - 39,60.3
Male,1999,31.6,35 - 39,60.3
Male,1998,31.5,35 - 39,60.5
Male,1997,31.5,35 - 39,60
Male,1996,31.4,35 - 39,58.6
Male,1995,31.3,35 - 39,57.5
Male,1994,31.3,35 - 39,57.8
Male,1993,31.1,35 - 39,56.2
Male,1992,30.9,35 - 39,54.9
Male,1991,30.8,35 - 39,54.4
Male,1990,30.7,35 - 39,53.8
Male,1989,30.7,35 - 39,51.5
Male,1988,30.5,35 - 39,50
Male,1987,30.5,35 - 39,48.3
Male,1986,30.4,35 - 39,45.2
Male,1985,30.3,35 - 39,44.8
Male,1984,30.3,35 - 39,43.4
Male,1983,30.2,35 - 39,42.9
Male,1982,30.1,35 - 39,42.4
Male,1981,30,35 - 39,41.6
Male,1980,29.8,35 - 39,42.6
Male,1979,29.8,35 - 39,41.5
Male,1978,29.7,35 - 39,38.1
Male,1977,29.7,35 - 39,35.6
Male,1976,29.6,35 - 39,36.3
Male,1975,29.5,35 - 39,37.5
Male,1974,29.4,35 - 39,40
Male,1973,29.5,35 - 39,43.7
Male,1972,29.6,35 - 39,49.2
Male,1971,29.6,35 - 39,54.6
Male,1970,29.7,35 - 39,56.9
Male,1969,29.8,35 - 39,59.7
Male,1968,29.9,35 - 39,63.1
Male,1967,30,35 - 39,66
Male,1966,30.1,35 - 39,69.1
Male,1965,30.2,35 - 39,73.3
Male,1964,30.3,35 - 39,75.1
Male,2020,33.7,40 - 44,34.3
Male,2019,33.6,40 - 44,35.6
Male,2018,33.6,40 - 44,35.9
Male,2017,33.4,40 - 44,36.9
Male,2016,33.3,40 - 44,37
Male,2015,33.2,40 - 44,36
Male,2014,33.1,40 - 44,35.5
Male,2013,32.9,40 - 44,34.8
Male,2012,32.7,40 - 44,35.8
Male,2011,32.6,40 - 44,35
Male,2010,32.5,40 - 44,34
Male,2009,32.4,40 - 44,32.9
Male,2008,32.3,40 - 44,32.4
Male,2007,32.3,40 - 44,31.7
Male,2006,32.2,40 - 44,30.3
Male,2005,32.2,40 - 44,29.3
Male,2004,32.1,40 - 44,28.5
Male,2003,32,40 - 44,27.3
Male,2002,31.9,40 - 44,25.3
Male,2001,31.8,40 - 44,24.6
Male,2000,31.7,40 - 44,24.1
Male,1999,31.6,40 - 44,23.9
Male,1998,31.5,40 - 44,23.6
Male,1997,31.5,40 - 44,23.2
Male,1996,31.4,40 - 44,22.4
Male,1995,31.3,40 - 44,21.6
Male,1994,31.3,40 - 44,21.2
Male,1993,31.1,40 - 44,20.5
Male,1992,30.9,40 - 44,20.5
Male,1991,30.8,40 - 44,19.2
Male,1990,30.7,40 - 44,19.1
Male,1989,30.7,40 - 44,18.5
Male,1988,30.5,40 - 44,18.3
Male,1987,30.5,40 - 44,17.9
Male,1986,30.4,40 - 44,17.6
Male,1985,30.3,40 - 44,17.6
Male,1984,30.3,40 - 44,17.3
Male,1983,30.2,40 - 44,16.9
Male,1982,30.1,40 - 44,16.6
Male,1981,30,40 - 44,16.3
Male,1980,29.8,40 - 44,16.7
Male,1979,29.8,40 - 44,16.3
Male,1978,29.7,40 - 44,15.2
Male,1977,29.7,40 - 44,14.3
Male,1976,29.6,40 - 44,14.5
Male,1975,29.5,40 - 44,15.2
Male,1974,29.4,40 - 44,16.2
Male,1973,29.5,40 - 44,17.9
Male,1972,29.6,40 - 44,20.3
Male,1971,29.6,40 - 44,22.8
Male,1970,29.7,40 - 44,23.8
Male,1969,29.8,40 - 44,25.3
Male,1968,29.9,40 - 44,26.9
Male,1967,30,40 - 44,28.2
Male,1966,30.1,40 - 44,28.9
Male,1965,30.2,40 - 44,30.3
Male,1964,30.3,40 - 44,31.6
Male,2020,33.7,45 - 49,11.2
Male,2019,33.6,45 - 49,11.6
Male,2018,33.6,45 - 49,11.8
Male,2017,33.4,45 - 49,12.1
Male,2016,33.3,45 - 49,12
Male,2015,33.2,45 - 49,11.8
Male,2014,33.1,45 - 49,11.7
Male,2013,32.9,45 - 49,11.4
Male,2012,32.7,45 - 49,11.9
Male,2011,32.6,45 - 49,11.6
Male,2010,32.5,45 - 49,11.4
Male,2009,32.4,45 - 49,11.2
Male,2008,32.3,45 - 49,11.1
Male,2007,32.3,45 - 49,10.7
Male,2006,32.2,45 - 49,10.2
Male,2005,32.2,45 - 49,9.7
Male,2004,32.1,45 - 49,9.4
Male,2003,32,45 - 49,8.8
Male,2002,31.9,45 - 49,8.1
Male,2001,31.8,45 - 49,7.9
Male,2000,31.7,45 - 49,7.8
Male,1999,31.6,45 - 49,7.6
Male,1998,31.5,45 - 49,7.6
Male,1997,31.5,45 - 49,7.3
Male,1996,31.4,45 - 49,7
Male,1995,31.3,45 - 49,6.9
Male,1994,31.3,45 - 49,6.9
Male,1993,31.1,45 - 49,6.9
Male,1992,30.9,45 - 49,6.8
Male,1991,30.8,45 - 49,6.9
Male,1990,30.7,45 - 49,7.1
Male,1989,30.7,45 - 49,7.1
Male,1988,30.5,45 - 49,7
Male,1987,30.5,45 - 49,7.2
Male,1986,30.4,45 - 49,7
Male,1985,30.3,45 - 49,7.1
Male,1984,30.3,45 - 49,6.8
Male,1983,30.2,45 - 49,6.7
Male,1982,30.1,45 - 49,6.4
Male,1981,30,45 - 49,6.1
Male,1980,29.8,45 - 49,6.1
Male,1979,29.8,45 - 49,5.8
Male,1978,29.7,45 - 49,5.4
Male,1977,29.7,45 - 49,5.1
Male,1976,29.6,45 - 49,5.3
Male,1975,29.5,45 - 49,5.4
Male,1974,29.4,45 - 49,5.7
Male,1973,29.5,45 - 49,6.1
Male,1972,29.6,45 - 49,6.7
