Gender,Year,Mean age of parenthood,Age,Age-specific fertility rate
Female,2020,1.6,19 and under,10.1
Female,2019,1.65,19 and under,11.2
Female,2018,1.7,19 and under,11.9
Female,2017,1.76,19 and under,12.7
Female,2016,1.81,19 and under,13.7
Female,2015,1.82,19 and under,14.5
Female,2014,1.83,19 and under,15.6
Female,2013,1.85,19 and under,17.4
Female,2012,1.94,19 and under,19.9
Female,2011,1.93,19 and under,21.2
Female,2010,1.94,19 and under,23.4
Female,2009,1.9,19 and under,24.8
Female,2008,1.92,19 and under,25.7
Female,2007,1.88,19 and under,25.9
Female,2006,1.83,19 and under,26.6
Female,2005,1.77,19 and under,26.4
Female,2004,1.77,19 and under,26.9
Female,2003,1.72,19 and under,26.9
Female,2002,1.64,19 and under,27.1
Female,2001,1.63,19 and under,28
Female,2000,1.65,19 and under,29.3
Female,1999,1.7,19 and under,30.9
Female,1998,1.73,19 and under,30.9
Female,1997,1.73,19 and under,30.2
Female,1996,1.74,19 and under,29.7
Female,1995,1.72,19 and under,28.5
Female,1994,1.75,19 and under,28.9
Female,1993,1.76,19 and under,30.9
Female,1992,1.8,19 and under,31.7
Female,1991,1.82,19 and under,33
Female,1990,1.84,19 and under,33.3
Female,1989,1.8,19 and under,32
Female,1988,1.82,19 and under,32.5
Female,1987,1.81,19 and under,30.9
Female,1986,1.77,19 and under,30.1
Female,1985,1.78,19 and under,29.4
Female,1984,1.75,19 and under,27.6
Female,1983,1.76,19 and under,26.9
Female,1982,1.76,19 and under,27.4
Female,1981,1.8,19 and under,28.1
Female,1980,1.88,19 and under,30.4
Female,1979,1.84,19 and under,30.3
Female,1978,1.73,19 and under,29.4
Female,1977,1.66,19 and under,29.4
Female,1976,1.71,19 and under,32.2
Female,1975,1.78,19 and under,36.4
Female,1974,1.89,19 and under,40.5
Female,1973,2,19 and under,43.9
Female,1972,2.17,19 and under,48
Female,1971,2.37,19 and under,50.6
Female,1970,2.4,19 and under,49.6
Female,1969,2.47,19 and under,49.6
Female,1968,2.57,19 and under,49
Female,1967,2.65,19 and under,48.9
Female,1966,2.75,19 and under,47.7
Female,1965,2.85,19 and under,45.1
Female,1964,2.93,19 and under,42.5
Female,2020,1.6,20 - 24,45.7
Female,2019,1.65,20 - 24,48.4
Female,2018,1.7,20 - 24,50.5
Female,2017,1.76,20 - 24,53.7
Female,2016,1.81,20 - 24,55.8
Female,2015,1.82,20 - 24,58
Female,2014,1.83,20 - 24,60.1
Female,2013,1.85,20 - 24,63.7
Female,2012,1.94,20 - 24,69.9
Female,2011,1.93,20 - 24,71.6
Female,2010,1.94,20 - 24,74.1
Female,2009,1.9,20 - 24,73.9
Female,2008,1.92,20 - 24,74.1
Female,2007,1.88,20 - 24,72.6
Female,2006,1.83,20 - 24,72.1
Female,2005,1.77,20 - 24,70.5
