Age,Year,Type of Registration,Count
19 and under,1938,Outside Marriage (or Civil Partnership),4730
19 and under,1938,Within Marriage (or Civil Partnership),20680
20 - 24,1938,Outside Marriage (or Civil Partnership),8339
20 - 24,1938,Within Marriage (or Civil Partnership),138336
25 - 29,1938,Outside Marriage (or Civil Partnership),5819
25 - 29,1938,Within Marriage (or Civil Partnership),194112
30 - 34,1938,Outside Marriage (or Civil Partnership),3777
30 - 34,1938,Within Marriage (or Civil Partnership),141576
35-39,1938,Outside Marriage (or Civil Partnership),2626
35-39,1938,Within Marriage (or Civil Partnership),74650
40 - 44,1938,Outside Marriage (or Civil Partnership),1001
40 - 44,1938,Within Marriage (or Civil Partnership),23473
45 - 49,1938,Outside Marriage (or Civil Partnership),87
45 - 49,1938,Within Marriage (or Civil Partnership),1998
19 and under,1948,Outside Marriage (or Civil Partnership),5494
19 and under,1948,Within Marriage (or Civil Partnership),24960
20 - 24,1948,Outside Marriage (or Civil Partnership),12723
20 - 24,1948,Within Marriage (or Civil Partnership),197397
25 - 29,1948,Outside Marriage (or Civil Partnership),11034
25 - 29,1948,Within Marriage (or Civil Partnership),238855
30 - 34,1948,Outside Marriage (or Civil Partnership),6476
30 - 34,1948,Within Marriage (or Civil Partnership),149607
35-39,1948,Outside Marriage (or Civil Partnership),4220
35-39,1948,Within Marriage (or Civil Partnership),93214
40 - 44,1948,Outside Marriage (or Civil Partnership),1504
40 - 44,1948,Within Marriage (or Civil Partnership),27771
45 - 49,1948,Outside Marriage (or Civil Partnership),123
45 - 49,1948,Within Marriage (or Civil Partnership),1928
19 and under,1958,Outside Marriage (or Civil Partnership),7261
19 and under,1958,Within Marriage (or Civil Partnership),36570
20 - 24,1958,Outside Marriage (or Civil Partnership),11317
20 - 24,1958,Within Marriage (or Civil Partnership),210621
25 - 29,1958,Outside Marriage (or Civil Partnership),7310
25 - 29,1958,Within Marriage (or Civil Partnership),226736
30 - 34,1958,Outside Marriage (or Civil Partnership),5246
30 - 34,1958,Within Marriage (or Civil Partnership),139020
35-39,1958,Outside Marriage (or Civil Partnership),3768
35-39,1958,Within Marriage (or Civil Partnership),73148
40 - 44,1958,Outside Marriage (or Civil Partnership),1195
40 - 44,1958,Within Marriage (or Civil Partnership),17193
45 - 49,1958,Outside Marriage (or Civil Partnership),77
45 - 49,1958,Within Marriage (or Civil Partnership),1253
19 and under,1968,Outside Marriage (or Civil Partnership),21809
19 and under,1968,Within Marriage (or Civil Partnership),60266
20 - 24,1968,Outside Marriage (or Civil Partnership),24363
20 - 24,1968,Within Marriage (or Civil Partnership),271583
25 - 29,1968,Outside Marriage (or Civil Partnership),11684
25 - 29,1968,Within Marriage (or Civil Partnership),229123
30 - 34,1968,Outside Marriage (or Civil Partnership),6620
30 - 34,1968,Within Marriage (or Civil Partnership),118696
35-39,1968,Outside Marriage (or Civil Partnership),3890
35-39,1968,Within Marriage (or Civil Partnership),54193
40 - 44,1968,Outside Marriage (or Civil Partnership),1330
40 - 44,1968,Within Marriage (or Civil Partnership),14574
45 - 49,1968,Outside Marriage (or Civil Partnership),110
45 - 49,1968,Within Marriage (or Civil Partnership),1031
19 and under,1978,Outside Marriage (or Civil Partnership),21643
19 and under,1978,Within Marriage (or Civil Partnership),34341
20 - 24,1978,Outside Marriage (or Civil Partnership),19701
20 - 24,1978,Within Marriage (or Civil Partnership),162879
25 - 29,1978,Outside Marriage (or Civil Partnership),10431
25 - 29,1978,Within Marriage (or Civil Partnership),200167
30 - 34,1978,Outside Marriage (or Civil Partnership),5889
30 - 34,1978,Within Marriage (or Civil Partnership),107188
35-39,1978,Outside Marriage (or Civil Partnership),2333
35-39,1978,Within Marriage (or Civil Partnership),25604
40 - 44,1978,Outside Marriage (or Civil Partnership),596
40 - 44,1978,Within Marriage (or Civil Partnership),5123
45 - 49,1978,Outside Marriage (or Civil Partnership),44
45 - 49,1978,Within Marriage (or Civil Partnership),479
19 and under,1988,Outside Marriage (or Civil Partnership),44642
19 and under,1988,Within Marriage (or Civil Partnership),14099
20 - 24,1988,Outside Marriage (or Civil Partnership),68151
20 - 24,1988,Within Marriage (or Civil Partnership),125575
25 - 29,1988,Outside Marriage (or Civil Partnership),38168
25 - 29,1988,Within Marriage (or Civil Partnership),205292
30 - 34,1988,Outside Marriage (or Civil Partnership),17590
30 - 34,1988,Within Marriage (or Civil Partnership),123384
35-39,1988,Outside Marriage (or Civil Partnership),7249
35-39,1988,Within Marriage (or Civil Partnership),40400
40 - 44,1988,Outside Marriage (or Civil Partnership),1495
40 - 44,1988,Within Marriage (or Civil Partnership),7025
45 - 49,1988,Outside Marriage (or Civil Partnership),57
45 - 49,1988,Within Marriage (or Civil Partnership),450
19 and under,1998,Outside Marriage (or Civil Partnership),43007
19 and under,1998,Within Marriage (or Civil Partnership),5278
20 - 24,1998,Outside Marriage (or Civil Partnership),67813
20 - 24,1998,Within Marriage (or Civil Partnership),45724
25 - 29,1998,Outside Marriage (or Civil Partnership),62397
25 - 29,1998,Within Marriage (or Civil Partnership),130747
30 - 34,1998,Outside Marriage (or Civil Partnership),43900
30 - 34,1998,Within Marriage (or Civil Partnership),144599
35-39,1998,Outside Marriage (or Civil Partnership),19561
35-39,1998,Within Marriage (or Civil Partnership),59320
40 - 44,1998,Outside Marriage (or Civil Partnership),3791
40 - 44,1998,Within Marriage (or Civil Partnership),9189
45 - 49,1998,Outside Marriage (or Civil Partnership),142
45 - 49,1998,Within Marriage (or Civil Partnership),433
19 and under,2008,Outside Marriage (or Civil Partnership),41952
19 and under,2008,Within Marriage (or Civil Partnership),2739
20 - 24,2008,Outside Marriage (or Civil Partnership),97732
20 - 24,2008,Within Marriage (or Civil Partnership),38239
25 - 29,2008,Outside Marriage (or Civil Partnership),82607
25 - 29,2008,Within Marriage (or Civil Partnership),110353
30 - 34,2008,Outside Marriage (or Civil Partnership),54384
30 - 34,2008,Within Marriage (or Civil Partnership),138066
35-39,2008,Outside Marriage (or Civil Partnership),34618
35-39,2008,Within Marriage (or Civil Partnership),81602
40 - 44,2008,Outside Marriage (or Civil Partnership),9000
40 - 44,2008,Within Marriage (or Civil Partnership),15991
45 - 49,2008,Outside Marriage (or Civil Partnership),488
45 - 49,2008,Within Marriage (or Civil Partnership),940
19 and under,2018,Outside Marriage (or Civil Partnership),18056
19 and under,2018,Within Marriage (or Civil Partnership),920
20 - 24,2018,Outside Marriage (or Civil Partnership),73156
20 - 24,2018,Within Marriage (or Civil Partnership),17939
25 - 29,2018,Outside Marriage (or Civil Partnership),98361
25 - 29,2018,Within Marriage (or Civil Partnership),82497
30 - 34,2018,Outside Marriage (or Civil Partnership),74966
30 - 34,2018,Within Marriage (or Civil Partnership),137741
35-39,2018,Outside Marriage (or Civil Partnership),41923
35-39,2018,Within Marriage (or Civil Partnership),82644
40 - 44,2018,Outside Marriage (or Civil Partnership),10428
40 - 44,2018,Within Marriage (or Civil Partnership),16071
45 - 49,2018,Outside Marriage (or Civil Partnership),914
45 - 49,2018,Within Marriage (or Civil Partnership),1452
