Year,Country,Count,Rank
2020,Pakistan,16460,1
2020,Romania,15713,2
2020,Poland,14633,3
2020,India,14404,4
2020,Bangladesh,6767,5
2020,Nigeria,5575,6
2020,Lithuania,3619,7
2020,Germany,3609,8
2020,Somalia,3347,9
2020,United States of America,3145,10
2019,Poland,16737,1
2019,Pakistan,16320,2
2019,Romania,16069,3
2019,India,13108,4
2019,Bangladesh,6774,5
2019,Nigeria,5634,6
2019,Lithuania,4133,7
2019,Germany,3816,8
2019,Somalia,3698,9
2019,United States of America,3240,10
2018,Poland,18765,1
2018,Pakistan,15996,2
2018,Romania,15196,3
2018,India,12675,4
2018,Bangladesh,7027,5
2018,Nigeria,5769,6
2018,Lithuania,4517,7
2018,Germany,3917,8
2018,Somalia,3765,9
2018,United States of America,3333,10
2017,Poland,20779,1
2017,Pakistan,17099,2
2017,Romania,13717,3
2017,India,13476,4
2017,Bangladesh,7426,5
2017,Nigeria,6074,6
2017,Lithuania,4803,7
2017,Somalia,4390,8
2017,Germany,4245,9
2017,United States of America,3271,10
2016,Poland,22382,1
2016,Pakistan,17367,2
2016,India,13883,3
2016,Romania,11721,4
2016,Bangladesh,8106,5
2016,Nigeria,6635,6
2016,Lithuania,4912,7
2016,Somalia,4621,8
2016,Germany,4560,9
2015,Poland,22928,1
2015,Pakistan,17342,2
2015,India,13780,3
2015,Romania,8734,4
2015,Bangladesh,7752,5
2015,Nigeria,6829,6
2015,Lithuania,4872,7
2015,Germany,4667,8
2015,Somalia,4636,9
2014,Poland,22122,1
2014,Pakistan,17943,2
2014,India,13735,3
2014,Bangladesh,7783,4
2014,Nigeria,7030,5
2014,Romania,6102,6
2014,Lithuania,4786,7
2014,Germany,4708,8
2014,Somalia,4696,9
2013,Poland,21275,1
2013,Pakistan,18578,2
2013,India,14044,3
2013,Bangladesh,7982,4
2013,Nigeria,7267,5
2013,Romania,4956,6
2013,Germany,4838,7
2013,Lithuania,4595,8
2012,Poland,21156,1
2012,Pakistan,19091,2
2012,India,14621,3
2012,Bangladesh,8224,4
2012,Nigeria,7685,5
2012,Somalia,5300,6
2012,Germany,5064,7
2012,Lithuania,4535,8
2012,Romania,4406,9
2011,Poland,20495,1
2011,Pakistan,18434,2
2011,India,14892,3
2011,Bangladesh,8371,4
2011,Nigeria,7476,5
2011,Somalia,5654,6
2011,Germany,5108,7
2011,Lithuania,3788,8
2010,Poland,19762,1
2010,Pakistan,17840,2
2010,India,13575,3
2010,Bangladesh,8360,4
2010,Nigeria,7332,5
2010,Somalia,5882,6
2010,Germany,5328,7
2009,Pakistan,18394,1
2009,Poland,18159,2
2009,India,12499,3
2009,Bangladesh,8452,4
2009,Nigeria,7101,5
2009,Somalia,5807,6
2009,Germany,5158,7
2008,Pakistan,18826,1
2008,Poland,16101,2
2008,India,12453,3
2008,Bangladesh,8629,4
2008,Nigeria,6974,5
2008,Somalia,6058,6
2008,Germany,5084,7
2007,Pakistan,17648,1
2007,India,12012,2
2007,Poland,11952,3
2007,Bangladesh,8775,4
2007,Nigeria,6495,5
2007,Somalia,5890,6
2007,Germany,5043,7
2006,Pakistan,17150,1
2006,India,11117,2
2006,Bangladesh,8798,3
2006,Poland,6620,4
2006,Nigeria,5854,5
2006,Somalia,5639,6
2006,Germany,4749,7
2005,Pakistan,16477,1
2005,India,10079,2
2005,Bangladesh,8217,3
2005,Somalia,5467,4
2005,Nigeria,5456,5
2005,Germany,4665,6
2005,Poland,3403,7
2004,Pakistan,15736,1
2004,India,9146,2
2004,Bangladesh,8857,3
2004,Somalia,4880,4
2004,Germany,4615,5
2004,Nigeria,4039,6
2004,United States of America,2916,7
2003,Pakistan,15107,1
2003,Bangladesh,8898,2
2003,India,7995,3
2003,Germany,4392,4
2003,Somalia,4334,5
2003,Nigeria,3159,6
2003,United States of America,3037,7
