1978,Within Marriage (or Civil Partnership),535781
1978,Sole Registrations,27835
1978,Outside Marriage (or Civil Partnership),60637
1979,Within Marriage (or Civil Partnership),568561
1979,Sole Registrations,31118
1979,Outside Marriage (or Civil Partnership),69467
1980,Within Marriage (or Civil Partnership),578862
1980,Sole Registrations,33204
1980,Outside Marriage (or Civil Partnership),77372
1981,Within Marriage (or Civil Partnership),553509
1981,Sole Registrations,33850
1981,Outside Marriage (or Civil Partnership),80983
1982,Within Marriage (or Civil Partnership),536074
1982,Sole Registrations,36453
1982,Outside Marriage (or Civil Partnership),89857
1983,Within Marriage (or Civil Partnership),529923
1983,Sole Registrations,38417
1983,Outside Marriage (or Civil Partnership),99211
1984,Within Marriage (or Civil Partnership),526353
1984,Sole Registrations,40593
1984,Outside Marriage (or Civil Partnership),110465
1985,Within Marriage (or Civil Partnership),530167
1985,Sole Registrations,44458
1985,Outside Marriage (or Civil Partnership),126250
1986,Within Marriage (or Civil Partnership),519673
1986,Sole Registrations,47822
1986,Outside Marriage (or Civil Partnership),141345
1987,Within Marriage (or Civil Partnership),523080
1987,Sole Registrations,50474
1987,Outside Marriage (or Civil Partnership),158431
1988,Within Marriage (or Civil Partnership),516225
1988,Sole Registrations,53944
1988,Outside Marriage (or Civil Partnership),177352
1989,Within Marriage (or Civil Partnership),501921
1989,Sole Registrations,53537
1989,Outside Marriage (or Civil Partnership),185804
1990,Within Marriage (or Civil Partnership),506141
1990,Sole Registrations,54831
1990,Outside Marriage (or Civil Partnership),199999
1991,Within Marriage (or Civil Partnership),487923
1991,Sole Registrations,54131
1991,Outside Marriage (or Civil Partnership),211294
1992,Within Marriage (or Civil Partnership),474431
1992,Sole Registrations,51472
1992,Outside Marriage (or Civil Partnership),215225
1993,Within Marriage (or Civil Partnership),456919
1993,Sole Registrations,50242
1993,Outside Marriage (or Civil Partnership),216548
1994,Within Marriage (or Civil Partnership),449190
1994,Sole Registrations,49030
1994,Outside Marriage (or Civil Partnership),215536
1995,Within Marriage (or Civil Partnership),428189
1995,Sole Registrations,47916
1995,Outside Marriage (or Civil Partnership),219949
1996,Within Marriage (or Civil Partnership),416822
1996,Sole Registrations,51016
1996,Outside Marriage (or Civil Partnership),232663
1997,Within Marriage (or Civil Partnership),404873
1997,Sole Registrations,50582
1997,Outside Marriage (or Civil Partnership),238222
1998,Within Marriage (or Civil Partnership),395290
1998,Sole Registrations,49960
1998,Outside Marriage (or Civil Partnership),240611
1999,Within Marriage (or Civil Partnership),379983
1999,Sole Registrations,48203
1999,Outside Marriage (or Civil Partnership),241889
2000,Within Marriage (or Civil Partnership),365836
2000,Sole Registrations,45773
2000,Outside Marriage (or Civil Partnership),238605
2001,Within Marriage (or Civil Partnership),356548
2001,Sole Registrations,43744
2001,Outside Marriage (or Civil Partnership),238086
2002,Within Marriage (or Civil Partnership),354090
2002,Sole Registrations,43129
2002,Outside Marriage (or Civil Partnership),242032
2003,Within Marriage (or Civil Partnership),364244
2003,Sole Registrations,44875
2003,Outside Marriage (or Civil Partnership),257225
2004,Within Marriage (or Civil Partnership),369997
2004,Sole Registrations,45372
2004,Outside Marriage (or Civil Partnership),269724
2005,Within Marriage (or Civil Partnership),369330
2005,Sole Registrations,45170
2005,Outside Marriage (or Civil Partnership),276505
2006,Within Marriage (or Civil Partnership),378225
2006,Sole Registrations,45455
2006,Outside Marriage (or Civil Partnership),291376
2007,Within Marriage (or Civil Partnership),384463
2007,Sole Registrations,45701
2007,Outside Marriage (or Civil Partnership),305550
2008,Within Marriage (or Civil Partnership),387930
2008,Sole Registrations,45464
2008,Outside Marriage (or Civil Partnership),320781
2009,Within Marriage (or Civil Partnership),380069
2009,Sole Registrations,43739
2009,Outside Marriage (or Civil Partnership),326179
2010,Within Marriage (or Civil Partnership),384375
2010,Sole Registrations,42492
2010,Outside Marriage (or Civil Partnership),338790
2011,Within Marriage (or Civil Partnership),382574
2011,Sole Registrations,41818
2011,Outside Marriage (or Civil Partnership),341339
2012,Within Marriage (or Civil Partnership),383189
2012,Sole Registrations,41879
2012,Outside Marriage (or Civil Partnership),346485
2013,Within Marriage (or Civil Partnership),367618
2013,Sole Registrations,39299
2013,Outside Marriage (or Civil Partnership),330894
2014,Within Marriage (or Civil Partnership),364998
2014,Sole Registrations,37779
2014,Outside Marriage (or Civil Partnership),330235
2015,Within Marriage (or Civil Partnership),364628
2015,Sole Registrations,36804
2015,Outside Marriage (or Civil Partnership),333224
2016,Within Marriage (or Civil Partnership),364521
2016,Sole Registrations,36122
2016,Outside Marriage (or Civil Partnership),331750
2017,Within Marriage (or Civil Partnership),352270
2017,Sole Registrations,35203
2017,Outside Marriage (or Civil Partnership),326836
2018,Within Marriage (or Civil Partnership),339267
2018,Sole Registrations,34064
2018,Outside Marriage (or Civil Partnership),317809
2019,Within Marriage (or Civil Partnership),329971
2019,Sole Registrations,33114
2019,Outside Marriage (or Civil Partnership),310399
2020,Within Marriage (or Civil Partnership),313370
2020,Sole Registrations,31963
2020,Outside Marriage (or Civil Partnership),300566
Year,Type of Registration,Count
