Classification,Mother age ,Registration ,Count,Total babies
Class 1.1,All ages,All live births,"24,275","613,936"
Class 1.1,All ages,Within marriage/civil partnership,"17,641","313,370"
Class 1.1,All ages,Outside marriage/civil partnership,"6,640","300,566"
Class 1.1,All ages,Joint registrations same address,"5,582","204,576"
Class 1.1,All ages,Joint registrations different address,823,"64,027"
Class 1.1,All ages,Sole registrations,248,"31,963"
Class 1.1,Under 25,All live births ,388,"95,566"
Class 1.1,Under 25,Within marriage/civil partnership,98,"16,405"
Class 1.1,Under 25,Outside marriage/civil partnership,289,"79,161"
Class 1.1,Under 25,Joint registrations same address,230,"44,631"
Class 1.1,Under 25,Joint registrations different address,50,"22,912"
Class 1.1,Under 25,Sole registrations,10,"11,618"
Class 1.1,25 to 34,All live births ,"14,403","370,440"
Class 1.1,25 to 34,Within marriage/civil partnership,"10,493","202,134"
Class 1.1,25 to 34,Outside marriage/civil partnership,"3,917","168,306"
Class 1.1,25 to 34,Joint registrations same address,"3,286","121,339"
Class 1.1,25 to 34,Joint registrations different address,552,"32,209"
Class 1.1,25 to 34,Sole registrations,81,"14,758"
Class 1.1,35 and over,All live births,"9,504","147,838"
Class 1.1,35 and over,Within marriage/civil partnership,"7,053","94,801"
Class 1.1,35 and over,Outside marriage/civil partnership,"2,446","53,037"
Class 1.1,35 and over,Joint registrations same address,"2,077","38,590"
Class 1.1,35 and over,Joint registrations different address,221,"8,885"
Class 1.1,35 and over,Sole registrations,154,"5,562"
Class 1.2,All ages,All live births,"99,322","613,936"
Class 1.2,All ages,Within marriage/civil partnership,"75,011","313,370"
Class 1.2,All ages,Outside marriage/civil partnership,"24,340","300,566"
Class 1.2,All ages,Joint registrations same address,"21,747","204,576"
Class 1.2,All ages,Joint registrations different address,"2,054","64,027"
Class 1.2,All ages,Sole registrations,604,"31,963"
Class 1.2,Under 25,All live births ,"2,546","95,566"
Class 1.2,Under 25,Within marriage/civil partnership,"1,023","16,405"
Class 1.2,Under 25,Outside marriage/civil partnership,"1,515","79,161"
Class 1.2,Under 25,Joint registrations same address,"1,182","44,631"
Class 1.2,Under 25,Joint registrations different address,318,"22,912"
Class 1.2,Under 25,Sole registrations,20,"11,618"
Class 1.2,25 to 34,All live births ,"60,284","370,440"
Class 1.2,25 to 34,Within marriage/civil partnership,"45,951","202,134"
Class 1.2,25 to 34,Outside marriage/civil partnership,"14,370","168,306"
Class 1.2,25 to 34,Joint registrations same address,"12,962","121,339"
Class 1.2,25 to 34,Joint registrations different address,"1,154","32,209"
Class 1.2,25 to 34,Sole registrations,272,"14,758"
Class 1.2,35 and over,All live births,"36,601","147,838"
Class 1.2,35 and over,Within marriage/civil partnership,"28,084","94,801"
Class 1.2,35 and over,Outside marriage/civil partnership,"8,496","53,037"
Class 1.2,35 and over,Joint registrations same address,"7,641","38,590"
Class 1.2,35 and over,Joint registrations different address,584,"8,885"
Class 1.2,35 and over,Sole registrations,308,"5,562"
Class 2,All ages,All live births,"180,714","613,936"
Class 2,All ages,Within marriage/civil partnership,"104,827","313,370"
Class 2,All ages,Outside marriage/civil partnership,"75,902","300,566"
Class 2,All ages,Joint registrations same address,"62,198","204,576"
Class 2,All ages,Joint registrations different address,"11,131","64,027"
Class 2,All ages,Sole registrations,"2,705","31,963"
Class 2,Under 25,All live births ,"13,995","95,566"
Class 2,Under 25,Within marriage/civil partnership,"2,982","16,405"
Class 2,Under 25,Outside marriage/civil partnership,"11,005","79,161"
Class 2,Under 25,Joint registrations same address,"8,175","44,631"
Class 2,Under 25,Joint registrations different address,"2,429","22,912"
Class 2,Under 25,Sole registrations,432,"11,618"
Class 2,25 to 34,All live births ,"118,425","370,440"
Class 2,25 to 34,Within marriage/civil partnership,"70,184","202,134"
Class 2,25 to 34,Outside marriage/civil partnership,"48,257","168,306"
Class 2,25 to 34,Joint registrations same address,"40,510","121,339"
Class 2,25 to 34,Joint registrations different address,"6,410","32,209"
Class 2,25 to 34,Sole registrations,"1,362","14,758"
Class 2,35 and over,All live births,"48,383","147,838"
Class 2,35 and over,Within marriage/civil partnership,"31,701","94,801"
Class 2,35 and over,Outside marriage/civil partnership,"16,679","53,037"
Class 2,35 and over,Joint registrations same address,"13,529","38,590"
Class 2,35 and over,Joint registrations different address,"2,294","8,885"
Class 2,35 and over,Sole registrations,905,"5,562"
Class 3,All ages,All live births,"73,076","613,936"
Class 3,All ages,Within marriage/civil partnership,"30,577","313,370"
Class 3,All ages,Outside marriage/civil partnership,"42,491","300,566"
Class 3,All ages,Joint registrations same address,"30,883","204,576"
Class 3,All ages,Joint registrations different address,"8,750","64,027"
Class 3,All ages,Sole registrations,"2,883","31,963"
Class 3,Under 25,All live births ,"14,015","95,566"
Class 3,Under 25,Within marriage/civil partnership,"2,195","16,405"
Class 3,Under 25,Outside marriage/civil partnership,"11,823","79,161"
Class 3,Under 25,Joint registrations same address,"7,814","44,631"
Class 3,Under 25,Joint registrations different address,"3,175","22,912"
