Classification,Mother age,Registration ,Count,Total babies
Class 1.1,All ages,All live births,24275,613936
Class 1.1,Under 25,All live births ,388,95566
Class 1.1,25 to 34,All live births ,14403,370440
Class 1.1,35 and over,All live births,9504,147838
Class 1.2,All ages,All live births,99322,613936
Class 1.2,Under 25,All live births ,2546,95566
Class 1.2,25 to 34,All live births ,60284,370440
Class 1.2,35 and over,All live births,36601,147838
Class 2,All ages,All live births,180714,613936
Class 2,Under 25,All live births ,13995,95566
Class 2,25 to 34,All live births ,118425,370440
Class 2,35 and over,All live births,48383,147838
Class 3,All ages,All live births,73076,613936
Class 3,Under 25,All live births ,14015,95566
Class 3,25 to 34,All live births ,45991,370440
Class 3,35 and over,All live births,13037,147838
Class 4,All ages,All live births,60038,613936
Class 4,Under 25,All live births ,10414,95566
Class 4,25 to 34,All live births ,36152,370440
Class 4,35 and over,All live births,13448,147838
Class 5,All ages,All live births,40145,613936
Class 5,Under 25,All live births ,9091,95566
Class 5,25 to 34,All live births ,24262,370440
Class 5,35 and over,All live births,6754,147838
Class 6,All ages,All live births,59708,613936
Class 6,Under 25,All live births ,17058,95566
Class 6,25 to 34,All live births ,33019,370440
Class 6,35 and over,All live births,9564,147838
Class 7,All ages,All live births,40706,613936
Class 7,Under 25,All live births ,13219,95566
Class 7,25 to 34,All live births ,21509,370440
Class 7,35 and over,All live births,5911,147838
Class 8,All ages,All live births,50,613936
Class 8,Under 25,All live births ,20,95566
Class 8,25 to 34,All live births ,20,370440
Class 8,35 and over,All live births,10,147838
