Classification,Mother age ,Registration ,Count,Total babies
Class 1.1,All ages,All live births,"24,275","613,936"
Class 1.1,Under 25,All live births ,388,"95,566"
Class 1.1,25 to 34,All live births ,"14,403","370,440"
Class 1.1,35 and over,All live births,"9,504","147,838"
Class 1.2,All ages,All live births,"99,322","613,936"
Class 1.2,Under 25,All live births ,"2,546","95,566"
Class 1.2,25 to 34,All live births ,"60,284","370,440"
Class 1.2,35 and over,All live births,"36,601","147,838"
Class 2,All ages,All live births,"180,714","613,936"
Class 2,Under 25,All live births ,"13,995","95,566"
Class 2,25 to 34,All live births ,"118,425","370,440"
Class 2,35 and over,All live births,"48,383","147,838"
Class 3,All ages,All live births,"73,076","613,936"
Class 3,Under 25,All live births ,"14,015","95,566"
Class 3,25 to 34,All live births ,"45,991","370,440"
Class 3,35 and over,All live births,"13,037","147,838"
Class 4,All ages,All live births,"60,038","613,936"
Class 4,Under 25,All live births ,"10,414","95,566"
Class 4,25 to 34,All live births ,"36,152","370,440"
Class 4,35 and over,All live births,"13,448","147,838"
Class 5,All ages,All live births,"40,145","613,936"
Class 5,Under 25,All live births ,"9,091","95,566"
Class 5,25 to 34,All live births ,"24,262","370,440"
Class 5,35 and over,All live births,"6,754","147,838"
Class 6,All ages,All live births,"59,708","613,936"
Class 6,Under 25,All live births ,"17,058","95,566"
Class 6,25 to 34,All live births ,"33,019","370,440"
Class 6,35 and over,All live births,"9,564","147,838"
Class 7,All ages,All live births,"40,706","613,936"
Class 7,Under 25,All live births ,"13,219","95,566"
Class 7,25 to 34,All live births ,"21,509","370,440"
Class 7,35 and over,All live births,"5,911","147,838"
Class 8,All ages,All live births,50,"613,936"
Class 8,Under 25,All live births ,20,"95,566"
Class 8,25 to 34,All live births ,20,"370,440"
Class 8,35 and over,All live births,10,"147,838"
